wkt_geom	Entity	Layer	Color	Linetype	Elevation	ORIG_FID	x	y
PointZ (392222.44219999999040738 283232.66999999998370185 2.30521339389022861)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392222.4422	283232.67
PointZ (392206.55589999997755513 283248.86190000001806766 2.33190999801986765)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392206.5559	283248.8619
PointZ (392212.30859999998938292 283242.96370000002207235 2.30521339389022861)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392212.3086	283242.9637
PointZ (392260.51789999997708946 283213.21909999998752028 2.2785167897605918)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392260.5179	283213.2191
PointZ (392203.7014000000199303 283251.82679999998072162 2.43202226350601558)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392203.7014	283251.8268
PointZ (392249.17170000000623986 283212.70640000002458692 2.25182018563095276)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392249.1717	283212.7064
PointZ (392256.12170000001788139 283207.30359999998472631 2.29186509182541132)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392256.1217	283207.3036
PointZ (392251.84529999998630956 283212.00290000002132729 2.25182018563095276)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392251.8453	283212.0029
PointZ (392250.21029999997699633 283212.42759999999543652 2.25182018563095276)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392250.2103	283212.4276
PointZ (392254.87390000000596046 283211.83140000002458692 2.25182018563095276)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392254.8739	283211.8314
PointZ (392253.24859999999171123 283211.86440000002039596 2.23847188356613325)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392253.2486	283211.8644
PointZ (392257.23670000000856817 283212.10670000000391155 2.2785167897605918)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392257.2367	283212.1067
PointZ (392256.18359999998938292 283211.91889999998966232 2.25182018563095276)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392256.1836	283211.9189
PointZ (392259.12609999999403954 283212.60210000001825392 2.26516848769577228)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392259.1261	283212.6021
PointZ (392258.17519999999785796 283212.30699999997159466 2.2785167897605918)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392258.1752	283212.307
PointZ (392249.17170000000623986 283212.70640000002458692 2.25182018563095276)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392249.1717	283212.7064
PointZ (392260.51789999997708946 283213.21909999998752028 2.2785167897605918)	3DPolyline	차선_실선	1	Continuous	2.27851678976	501	392260.5179	283213.2191
PointZ (392237.89730000001145527 283222.01380000001518056 2.22512358150131373)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392237.8973	283222.0138
PointZ (392242.26990000001387671 283218.23940000002039596 2.21177527943649421)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392242.2699	283218.2394
PointZ (392231.30080000002635643 283228.35979999997653067 2.1984269773716747)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392231.3008	283228.3598
PointZ (392234.5652000000118278 283225.13760000001639128 2.22512358150131373)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392234.5652	283225.1376
PointZ (392222.42099999997299165 283237.27789999998640269 2.14503376911239663)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392222.421	283237.2779
PointZ (392227.62410000001545995 283232.10259999998379499 2.17173037324203566)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392227.6241	283232.1026
PointZ (392260.79729999997653067 283191.4723000000230968 2.29186509182540687)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392260.7973	283191.4723
PointZ (392218.50829999998677522 283241.24739999999292195 2.09164056085311856)	3DPolyline	차선_점선	2	Continuous	2.25182018563	502	392218.5083	283241.2474
PointZ (392260.08169999998062849 283194.29639999999199063 2.29186509182540687)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392260.0817	283194.2964
PointZ (392260.39809999999124557 283192.91820000001462176 2.29186509182540687)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392260.3981	283192.9182
PointZ (392259.72240000002784654 283196.48159999999916181 2.30521339389022639)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.7224	283196.4816
